GEO;Population
Austria;8.932.664
Belgium;11.554.767
Bulgaria;6.916.548
Croatia;4.036.355
Cyprus;896.007
Czechia;10.701.777
Denmark;5.840.045
Estonia;1.330.068
Finland;5.533.793
France;67.656.682
Germany;83.155.031
Greece;10.678.632
Hungary;9.730.772
Iceland;368.792
Ireland;5.006.324
Italy;59.236.213
Latvia;1.893.223
Liechtenstein;39.055
Lithuania;2.795.680
Luxembourg;634.730
Malta;516.100
Netherlands;17.475.415
Norway;5.391.369
Poland;37.840.001
Portugal;10.298.252
Romania;19.201.662
Slovakia;5.459.781
Slovenia;2.108.977
Spain;47.398.695
Sweden;10.379.295
Switzerland;8.670.300
Turkey;:
Ukraine;41.418.717
United Kingdom;:
